arm,n_targets,seed_pairs_per_target,within_target_one_minus_SSIM_mean,within_target_one_minus_SSIM_sd_across_targets
NB,1024,45,0.05321716227041213,0.022127174964432103
NF,1024,45,0.034149734521038734,0.023153652787746424
NP,1024,45,0.021178852316697788,0.014002810716212925
NS,1024,45,0.02618148630219675,0.01575752167685808
ND,1024,45,0.9805363141506422,0.01332430570082096
