arm,n_seeds,images_per_seed,PFFD10_train_scaled_mean,PFFD10_train_scaled_sd,FID_InceptionV3_Mixed6e_768_mean,FID_InceptionV3_Mixed6e_768_sd,KID_InceptionV3_Mixed6e_768_mean,KID_InceptionV3_Mixed6e_768_sd,radial_log_power_l1_mean_mean,radial_log_power_l1_mean_sd,laplacian_variance_absolute_difference_mean_mean,laplacian_variance_absolute_difference_mean_sd,centroid_distance_to_inherited_bbox_center_mean_mean,centroid_distance_to_inherited_bbox_center_mean_sd,bright_bbox_width_absolute_error_mean_mean,bright_bbox_width_absolute_error_mean_sd,bright_bbox_height_absolute_error_mean_mean,bright_bbox_height_absolute_error_mean_sd,memorization_screen_flag_rate_mean,memorization_screen_flag_rate_sd,exact_train_or_flip_count_mean,exact_train_or_flip_count_sd,feature_min_mean_mean,feature_min_mean_sd,nearest_reference_ssim_max_mean,nearest_reference_ssim_max_sd,phash_minimum_mean,phash_minimum_sd
NB,10,1024,0.3679640622625239,0.0219195023549151,0.030924700180233966,0.0014019818862028976,2.517579536678305e-05,2.3968076218177935e-06,0.4205021128005072,0.007822196703037708,0.003617607179731066,8.709686803441255e-05,0.07588085812103842,0.0003181009039871941,0.07334462483723958,0.0017636588071765578,0.09485416666666667,0.001424777094259148,0.17265625,0.014901602812602026,16.8,3.0477678535099897,0.006747517175975602,0.00014318385547610604,1.0,0.0,0.0,0.0
ND,10,1024,6352.972723665397,4883.655631545701,5.5144421091835145,0.6203515152932104,0.02014993019940965,0.0025232659257543137,4.347036477462906,0.6807661205380008,4.80364053783992,2.471331290264554,0.12234364486312924,0.013808904712285837,0.3867247517903646,0.2990498481671164,0.3872503662109375,0.2985179059948867,0.0,0.0,0.0,0.0,0.3938610305291868,0.14282566734980784,0.4648164408127523,0.36781857394966644,4.4,3.025814858109391
NF,10,1024,6.111924591567119,2.948534644092602,0.6327496430544433,0.06587667713942448,0.0013355117612908972,0.00015354216439891272,0.5695751471580296,0.10340936963824052,0.004296724928438239,0.00020799859077135912,0.08695464315118151,0.012741809968767327,0.05896726481119792,0.0036306805565894714,0.09016725667317708,0.023238262255545834,0.0,0.0,0.0,0.0,0.02987911856062212,0.004561021526398041,0.9883151607709747,0.003536998046579125,0.0,0.0
NP,10,1024,4.5649822607523305,0.19428907674748774,0.6098309704978955,0.03808436517743559,0.001238273459656236,9.300781474076014e-05,0.6319431896677835,0.014663576296560515,0.004534828220267079,4.6689492311961935e-05,0.07105951413936781,0.0011064864663107147,0.06861680094401043,0.002190496591085962,0.08022806803385416,0.004168176216398835,0.0,0.0,0.0,0.0,0.03330833670492719,0.005553004925607989,0.9832618203585556,0.003094389552980954,0.0,0.0
NS,10,1024,4.379828348184587,0.690625038530172,0.5988728614075121,0.07993373818685162,0.001258096621811511,0.00021185315722152166,0.5616559344805243,0.03194367309677392,0.004389545751933219,8.545803232331641e-05,0.07310523142122527,0.0020778843479031814,0.06554876708984375,0.003719219935561354,0.08920218912760416,0.017110218246931225,0.0,0.0,0.0,0.0,0.030319474525046203,0.008776652232867575,0.9838002383168544,0.006691070680600493,0.0,0.0
