evidence_layer,data_role,arm,seed,n_images,PFFD10_train_scaled,FID_InceptionV3_Mixed6e_768,KID_InceptionV3_Mixed6e_768,radial_log_power_l1_mean,laplacian_variance_absolute_difference_mean,centroid_distance_to_inherited_bbox_center_mean,bright_bbox_width_absolute_error_mean,bright_bbox_height_absolute_error_mean,memorization_screen_flag_count,memorization_screen_flag_rate,exact_train_or_flip_count,feature_min_mean,nearest_reference_ssim_max,phash_minimum,source_array_sha256,test_payload_accessed
N2_NEW_STUDY,validation,NB,61001,1024,0.36399904309664777,0.030601293230983706,2.4089618924083567e-05,0.4158591728501587,0.0037214066694167994,0.07584574896289856,0.07512939453125,0.09703389485677083,158,0.154296875,14,0.006702111317322042,1.0,0,dbc2a1dd8d4b17cce524cb0fad3a8d29b10796af36c27a1eae7b7a05cabc8daf,False
N2_NEW_STUDY,validation,NB,61002,1024,0.39983811210631615,0.03236667007458349,2.7435990643365216e-05,0.4093546558349369,0.0034726577651676585,0.07595143842330387,0.07000508626302084,0.09502095540364583,175,0.1708984375,14,0.006678927090125484,1.0,0,041a92a21fe13f4b9e46a6e5aed40f4cec40e2a19cbeba140a0321215bc7731b,False
N2_NEW_STUDY,validation,NB,61003,1024,0.34721663556462445,0.032574999035073104,2.6865166359968384e-05,0.42153041386651907,0.0037052391297930495,0.0756741045739501,0.07433146158854166,0.09411763509114585,152,0.1484375,16,0.006987667262281134,1.0,0,4b55568157fc6280f23857ff41929783963a953303d1a94517ae8b8166219b2c,False
N2_NEW_STUDY,validation,NB,61004,1024,0.3667259267880212,0.02973613342373349,2.1767274992257057e-05,0.4252211939361646,0.003635427452917814,0.0753879401219878,0.07228922526041667,0.09394877115885417,172,0.16796875,16,0.0068319185164041,1.0,0,b536023cf1206d2bb9e33aab1b48965da3f35aad238b8986ee6a798825a12bb4,False
N2_NEW_STUDY,validation,NB,61005,1024,0.3782028405939286,0.03260327419347897,2.791678775349027e-05,0.4231630073187797,0.003545516295507493,0.07612176400516113,0.0746881103515625,0.09493937174479167,168,0.1640625,15,0.006747307102676781,1.0,0,33eb9168383c85ddec1495b1805b348a2efc0081c260e828ed95e6b127c3d819,False
N2_NEW_STUDY,validation,NB,61006,1024,0.3682515927596164,0.029616559887807536,2.2782596809101108e-05,0.43115400083135486,0.0036981919391892827,0.07643153730653676,0.07220682779947916,0.093355712890625,196,0.19140625,16,0.006524912462674013,1.0,0,c64ff7fe5a832448f2730293ce8a04b0b71ffb38b755d86e252b0cf4c2421bb5,False
N2_NEW_STUDY,validation,NB,61007,1024,0.3564463973459908,0.029621265248657824,2.4087370873004943e-05,0.41559171501890735,0.003575998707762169,0.07594390811904445,0.07559061686197915,0.09568074544270833,195,0.1904296875,20,0.00669156801253005,1.0,0,4da9c90930e3fbad37ff077e474bbe36ea5bcecb1f8fe81390813b23347cad6e,False
N2_NEW_STUDY,validation,NB,61008,1024,0.3592480170302821,0.03238659880905814,2.860254051162414e-05,0.4086439223724432,0.00353473482411985,0.07611460919315796,0.07233561197916666,0.0954217529296875,174,0.169921875,24,0.006955090797073641,1.0,0,971a1766275b2c8456e5c87c18251acea07bb93fefe4656e77b62d438ec60e66,False
N2_NEW_STUDY,validation,NB,61009,1024,0.3342202618897723,0.029245342385787798,2.2991225605117904e-05,0.42564681231246193,0.003702038964412402,0.07590210985209075,0.07452819824218751,0.09658935546875,186,0.181640625,16,0.006738954414328168,1.0,0,c273200a56ce3758335cd37cdc50d792c7b102ebc565e101491a78ecfabcf193,False
N2_NEW_STUDY,validation,NB,61010,1024,0.40549179545003966,0.030494865513175595,2.5219381195817903e-05,0.4288562336633448,0.0035848600490241437,0.07543542065225295,0.07234171549479167,0.0924334716796875,192,0.1875,17,0.006616714784340614,1.0,0,d39045e548dbdb9f23d11ce390979e45368d03beb8561e7713555aa0d9b4faab,False
