evidence_layer,arm,seed,best_epoch,best_validation_mse,optimizer_updates,elapsed_seconds,gpu_hours,summary_sha256,test_payload_accessed
N2_NEW_STUDY_VALIDATION,F10,61007,10,0.0005290071276249364,1120,92.92913040000712,0.025813647333335313,68bfd99d94c08874e797afd8ec4eb9ff0a0b69ca0b1e9698de279053ade127b9,False
N2_NEW_STUDY_VALIDATION,F10,61008,9,0.00046554087475669803,1120,89.32149919998483,0.02481152755555134,6034787d87f1a1d1a70309bc3d4e9363208978a705c7e4a878111a49599f1783,False
N2_NEW_STUDY_VALIDATION,F10,61009,10,0.0006407639129974996,1120,87.767297399987,0.024379804833329723,6df3b99924ffcdb0c08fd54aefa7da40f315cd00e44ed4e982c2082a236e7592,False
N2_NEW_STUDY_VALIDATION,F10,61010,10,0.000538177161161002,1120,88.65740850000293,0.02462705791666748,92c767b329c6c743882f54ffe060cda0f4f22ffedfff2a69c039000a5d05a246,False
N2_NEW_STUDY_VALIDATION,F11,61001,10,0.0004710013909061672,1120,88.03837460000068,0.024455104055555746,f14f509aac464f08b14eca63ee4dc4c9ac8b19ec1b5691193263bd3bc42f07c7,False
N2_NEW_STUDY_VALIDATION,F11,61002,9,0.0005103933917780523,1120,86.38321160001215,0.023995336555558928,2b07a637c4cec55a94efe55e61d30c9a3c6533c49b533977bf12cdb1615e0497,False
N2_NEW_STUDY_VALIDATION,F11,61003,8,0.0005077338473711279,1120,86.48991940001724,0.0240249776111159,d90288cb412857baa44b9a998dfe4d5fc2e5e72e3991fff698751bc1cfaf3b1b,False
N2_NEW_STUDY_VALIDATION,F11,61004,9,0.0005060968296675128,1120,93.38270819999161,0.025939641166664338,f1f1f44310541faff477b7229b9d5ddc38886a1b5a66155c0afcb7ebe5fdfd78,False
N2_NEW_STUDY_VALIDATION,F11,61005,10,0.0005124543858983088,1120,99.40335750000668,0.027612043750001855,96637eae7def3e5ec913da677c72e2097e834b3c8c4ab71b5d6e5e827ce43e80,False
N2_NEW_STUDY_VALIDATION,F11,61006,10,0.0005162404436305223,1120,98.24556449998636,0.027290434583329543,4a31782290bf8075141c8db60997c97bda7cd13a5dbc81b4e1caa58bd1559440,False
N2_NEW_STUDY_VALIDATION,F11,61007,10,0.0004711167389359616,1120,96.96446609997656,0.026934573916660157,1520811d7da1f5539952280fc0eee01ef96bf8ea08b65ac23b2a1b19627155d0,False
N2_NEW_STUDY_VALIDATION,F11,61008,9,0.0005062723462287977,1120,95.32112239999697,0.026478089555554713,79faa7b8ff7e7febbe66197f6f5c977e756685a6f3a0b6af2b5de205167b7080,False
N2_NEW_STUDY_VALIDATION,F11,61009,10,0.0005169872815713461,1120,96.58547789999284,0.026829299416664676,2de83eaf80c613554cbe1a6f315f42a256d27c8f9d725a6758979a86b3f6d4a2,False
N2_NEW_STUDY_VALIDATION,F11,61010,10,0.000487048548166058,1120,95.49905879999278,0.02652751633333133,b712f4c47f7dac026eb6ead19935071c5a1b1affe804352e044dc593731789b1,False
