COCO_AP,COCO_AP50,COCO_AP75,COCO_AP_large,COCO_AP_medium,COCO_AP_small,COCO_AR100,COCO_images,elapsed_seconds,gradient_norm_before_clip,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_total,row_type,update
0.014648088596705633,0.06693184848955995,0.0003491917012714529,0.011900213246964959,0.0029400847669771336,0.02404762593419309,0.26875,64,1.7490011999907438,,,,,,,validation,0
,,,,,,,,0.5198270000109915,48.82844924926758,0.05928513780236244,0.7191257476806641,0.24180230498313904,0.0936950296163559,1.113908290863037,training,1
,,,,,,,,0.12433130000135861,22.636056900024414,0.07409507036209106,0.660759449005127,0.08263491839170456,0.08296897262334824,0.9004583954811096,training,2
,,,,,,,,0.10609859999385662,24.0639591217041,0.09562335908412933,0.5349016189575195,0.08169679343700409,0.046658001840114594,0.7588797807693481,training,3
,,,,,,,,0.15627539998968132,64.5136489868164,0.04001625254750252,0.3800771236419678,0.8569378852844238,0.318184494972229,1.5952157974243164,training,4
,,,,,,,,0.14401369998813607,4.699388027191162,0.12560851871967316,0.2935760021209717,0.05670949071645737,0.005345234647393227,0.4812392294406891,training,5
,,,,,,,,0.14329409998026676,2.8893344402313232,0.10080184042453766,0.17523115873336792,0.025922229513525963,0.0031289979815483093,0.305084228515625,training,6
,,,,,,,,0.1466579999832902,4.98997688293457,0.13243329524993896,0.13891839981079102,0.05864104628562927,0.16576604545116425,0.4957587718963623,training,7
,,,,,,,,0.144750200008275,4.1011433601379395,0.07707115262746811,0.08064182102680206,0.03892344608902931,0.058881957083940506,0.25551837682724,training,8
,,,,,,,,0.14392360000056215,7.709151744842529,0.06237673759460449,0.08029292523860931,0.03966234624385834,0.09325040131807327,0.2755824029445648,training,9
,,,,,,,,0.13798569998471066,3.8091158866882324,0.08479663729667664,0.08717881888151169,0.0753440260887146,0.005482270382344723,0.2528017461299896,training,10
,,,,,,,,0.11200069999904372,2.6844279766082764,0.08171162009239197,0.09478073567152023,0.04442514851689339,0.018309343606233597,0.23922684788703918,training,11
