elapsed_seconds,fixed_t500_noise_mse,gradient_norm_before_clip,loss,row_type,update
,1.1407590508460999,,,validation,0
0.20667210000101477,,7.2832512855529785,1.1299244165420532,training,1
0.02081950000138022,,6.297336101531982,0.894531786441803,training,2
0.019473399996059015,,3.5746030807495117,0.7310317754745483,training,3
0.019567300012568012,,3.921086072921753,0.5561363697052002,training,4
0.019290199998067692,,3.574981689453125,0.34052368998527527,training,5
0.019641000020783395,,2.416555881500244,0.35838183760643005,training,6
0.019385699997656047,,2.583242177963257,0.23046550154685974,training,7
0.01993189999484457,,1.4926072359085083,0.15331831574440002,training,8
0.020201199979055673,,1.40057373046875,0.12222824990749359,training,9
0.019043599982978776,,0.9669127464294434,0.12015079706907272,training,10
0.020599500014213845,,1.1741788387298584,0.08137645572423935,training,11
0.021491699997568503,,1.6177372932434082,0.10627615451812744,training,12
0.01931730000069365,,1.0090481042861938,0.13155949115753174,training,13
0.019186100020306185,,2.8443896770477295,0.10523950308561325,training,14
0.018406799994409084,,2.2953007221221924,0.15453952550888062,training,15
0.020168699993519112,,1.565934419631958,0.06259368360042572,training,16
0.019460300012724474,,2.889028310775757,0.19788244366645813,training,17
0.019328099995618686,,1.1266695261001587,0.05376654863357544,training,18
0.018599200004246086,,2.1105167865753174,0.10411806404590607,training,19
0.01949639999656938,,2.342885971069336,0.07861708104610443,training,20
0.02026540000224486,,1.1033940315246582,0.05385223776102066,training,21
0.022005899983923882,,0.8384872674942017,0.08355053514242172,training,22
0.018446700007189065,,1.081800937652588,0.07229483127593994,training,23
0.01946229999884963,,0.9444786906242371,0.11545911431312561,training,24
0.018245099985506386,,0.7994070649147034,0.043086938560009,training,25
0.020279899996239692,,1.6018953323364258,0.11172312498092651,training,26
0.019482500007143244,,0.5429617762565613,0.03907015919685364,training,27
0.01919430002453737,,0.8669806122779846,0.05450834333896637,training,28
0.017892499978188425,,0.361204594373703,0.045588500797748566,training,29
0.021796700020786375,,0.6059057712554932,0.04182426631450653,training,30
0.015110000007553026,,0.8241478204727173,0.07175092399120331,training,31
0.014960000000428408,,0.48874667286872864,0.0380738340318203,training,32
0.01484270000946708,,0.42111971974372864,0.03248850256204605,training,33
0.015259600011631846,,0.5879224538803101,0.034716855734586716,training,34
0.014362200017785653,,1.545676827430725,0.0865393877029419,training,35
0.01493470001150854,,0.3542979955673218,0.03076634556055069,training,36
0.015245500020682812,,0.6442503929138184,0.04189490154385567,training,37
0.014238999981898814,,0.5294048190116882,0.03594045341014862,training,38
0.014627299999119714,,0.9028909802436829,0.09154249727725983,training,39
0.014531399996485561,,0.591196596622467,0.026933329179883003,training,40
0.015470400016056374,,0.6501912474632263,0.032788313925266266,training,41
0.014839899988146499,,0.7108628749847412,0.03667259216308594,training,42
0.01582209998741746,,0.4935004413127899,0.03812412917613983,training,43
0.04135280000627972,,0.5072227120399475,0.036639340221881866,training,44
0.018147499999031425,,0.5118452310562134,0.047048602253198624,training,45
0.03038320000632666,,0.4213615357875824,0.028525635600090027,training,46
0.019012300006579608,,0.7960418462753296,0.034140508621931076,training,47
0.019848600000841543,,0.7554518580436707,0.03650709614157677,training,48
0.019689299981109798,,0.5745202898979187,0.0549648180603981,training,49
0.018996099999640137,,0.32067006826400757,0.02981114387512207,training,50
,0.02290509920567274,,,validation,50
0.01817769999615848,,0.44787606596946716,0.030500132590532303,training,51
0.01917469999170862,,0.9539731740951538,0.03652467206120491,training,52
0.018673100013984367,,0.6726322770118713,0.04064568132162094,training,53
0.01805770001374185,,1.0433502197265625,0.03284630924463272,training,54
0.01799110000138171,,0.28910529613494873,0.025036297738552094,training,55
0.018671799974981695,,0.8327447175979614,0.031167253851890564,training,56
0.01721639998140745,,0.7654743790626526,0.033233851194381714,training,57
0.0184579000051599,,1.2682251930236816,0.028477521613240242,training,58
0.01841639998019673,,1.2052547931671143,0.030317623168230057,training,59
0.01721459999680519,,0.9218003153800964,0.023070020601153374,training,60
0.01451079998514615,,0.8092125654220581,0.020654752850532532,training,61
0.015714500012109056,,0.24229617416858673,0.024374188855290413,training,62
0.015275599987944588,,1.2817672491073608,0.04261095076799393,training,63
0.014401899999938905,,0.6928608417510986,0.020855583250522614,training,64
0.014556600013747811,,0.5687075853347778,0.02848680131137371,training,65
0.01439389999723062,,0.743769109249115,0.029743578284978867,training,66
0.01483830000506714,,0.2546475827693939,0.024887744337320328,training,67
0.01483529998222366,,0.83942049741745,0.03169523552060127,training,68
0.01445449999300763,,0.35446497797966003,0.0242701917886734,training,69
0.014367800002219155,,0.6538633704185486,0.02661258913576603,training,70
0.014536700007738546,,0.3176390826702118,0.019571799784898758,training,71
0.014290299994172528,,0.23494939506053925,0.01712082512676716,training,72
0.014728500013006851,,0.7089686989784241,0.03039618209004402,training,73
0.017725500016240403,,0.24456854164600372,0.022196533158421516,training,74
0.015216799976769835,,0.701780378818512,0.054010309278964996,training,75
0.01486650001606904,,0.24986429512500763,0.021026765927672386,training,76
0.014557800022885203,,0.2501298487186432,0.019809674471616745,training,77
0.02621860001818277,,0.8901838660240173,0.030836468562483788,training,78
0.029534900008002296,,0.727952778339386,0.021419398486614227,training,79
0.017737499991199,,0.550196647644043,0.02788398414850235,training,80
0.03203360000043176,,1.9309098720550537,0.07042378932237625,training,81
0.017338500008918345,,0.8962656855583191,0.017763875424861908,training,82
0.019120899989502504,,0.69597989320755,0.0211291816085577,training,83
0.018916500004706904,,1.1938352584838867,0.01677590049803257,training,84
0.019584800000302494,,1.7708913087844849,0.04193640127778053,training,85
0.019499100017128512,,0.46246376633644104,0.023263096809387207,training,86
0.02001640002708882,,1.2026112079620361,0.032095685601234436,training,87
0.01919569997699,,0.7311107516288757,0.02013085037469864,training,88
0.018794600007822737,,1.2156351804733276,0.021366678178310394,training,89
0.020084999996470287,,1.0771018266677856,0.018800118938088417,training,90
0.018616599991219118,,0.5100212097167969,0.01560945063829422,training,91
0.0207630000077188,,2.186126232147217,0.042412564158439636,training,92
0.018260199984069914,,0.9102123975753784,0.04976864904165268,training,93
0.018713800003752112,,0.7261390686035156,0.02159426361322403,training,94
0.01893210000707768,,1.4525915384292603,0.029084987938404083,training,95
0.017803299997467548,,0.6245168447494507,0.016295459121465683,training,96
0.01715539998258464,,0.995567262172699,0.027278514578938484,training,97
0.01774219999788329,,0.5003461241722107,0.017740845680236816,training,98
0.017643600003793836,,0.692555844783783,0.03095458820462227,training,99
0.017326700006378815,,0.42357495427131653,0.018139522522687912,training,100
,0.01306359632872045,,,validation,100
0.014987800008384511,,0.2782123386859894,0.015912750735878944,training,101
0.015108800027519464,,0.15657570958137512,0.0173330120742321,training,102
0.0145788999798242,,0.5282662510871887,0.018227171152830124,training,103
0.014668999996501952,,1.9252878427505493,0.07795555889606476,training,104
0.01692870000260882,,0.3279801607131958,0.017508510500192642,training,105
0.014451000024564564,,0.4621819257736206,0.015784958377480507,training,106
0.014543199999025092,,1.225106954574585,0.023765794932842255,training,107
0.01491219998570159,,1.2191977500915527,0.021446794271469116,training,108
0.014209899993147701,,0.2424641251564026,0.012141160666942596,training,109
0.01391660000081174,,1.0738003253936768,0.025290217250585556,training,110
0.01438800001051277,,1.147727608680725,0.025182116776704788,training,111
0.01571979999425821,,0.33215558528900146,0.020785298198461533,training,112
0.01522349999868311,,0.8991820812225342,0.05388554558157921,training,113
0.015086499974131584,,0.43409550189971924,0.012565545737743378,training,114
0.014966599992476404,,0.6794443726539612,0.019362039864063263,training,115
0.017421299999114126,,0.5704495906829834,0.016634097322821617,training,116
0.04148789998725988,,0.3803427219390869,0.015412152744829655,training,117
0.01594230000046082,,0.9918588399887085,0.061703287065029144,training,118
0.03332459999364801,,0.2501801550388336,0.018058158457279205,training,119
0.018504700012272224,,0.7089419960975647,0.014925912022590637,training,120
0.021532999991904944,,0.6498298645019531,0.01900082267820835,training,121
0.018912400002591312,,0.8173150420188904,0.02623668499290943,training,122
0.022279600001638755,,0.7370170950889587,0.0245346799492836,training,123
0.021306099981302395,,0.599012553691864,0.016388414427638054,training,124
0.018267400009790435,,0.596019983291626,0.012108180671930313,training,125
0.020155300007900223,,0.4027293026447296,0.014081453904509544,training,126
0.021303499990608543,,0.504952609539032,0.013924714177846909,training,127
0.01949360000435263,,1.400970220565796,0.04560577869415283,training,128
0.020276499999454245,,0.5095592737197876,0.020427152514457703,training,129
0.019707600004039705,,1.0130726099014282,0.020764227956533432,training,130
0.018548799998825416,,0.5144017934799194,0.01647152379155159,training,131
0.01832470000954345,,0.7022747993469238,0.020060716196894646,training,132
0.017020200000843033,,0.4190438389778137,0.022464387118816376,training,133
0.017538900021463633,,0.2887755036354065,0.015222756192088127,training,134
0.01776170000084676,,1.0392612218856812,0.04557943344116211,training,135
0.017658299999311566,,0.33050835132598877,0.012311127036809921,training,136
0.01729449999402277,,0.6756035089492798,0.012106494978070259,training,137
0.014726800000062212,,0.470063179731369,0.020530616864562035,training,138
0.015008399990620092,,0.8735642433166504,0.018752729520201683,training,139
0.01547250000294298,,0.628345251083374,0.015560364350676537,training,140
0.016301600000588223,,0.7089067697525024,0.014667855575680733,training,141
0.014279399998486042,,0.7562398910522461,0.010200337506830692,training,142
0.013948999985586852,,0.8854767680168152,0.027400754392147064,training,143
0.014054300001589581,,0.6483380794525146,0.011941609904170036,training,144
0.0143687000090722,,0.9185538291931152,0.0323115810751915,training,145
0.015507000003708526,,0.29556557536125183,0.01478695496916771,training,146
0.019336900004418567,,0.46290987730026245,0.01702880859375,training,147
0.014831799984676763,,0.43690478801727295,0.012731792405247688,training,148
0.015397399984067306,,0.5937835574150085,0.015949800610542297,training,149
0.015083699981914833,,0.29467037320137024,0.014223834499716759,training,150
,0.009368090890347958,,,validation,150
0.017458200018154457,,0.4378748834133148,0.012220202013850212,training,151
0.03692000001319684,,0.2091970592737198,0.012108094058930874,training,152
