control_family,strength,seed,equivalent_gaussian_sigma_px,validation_mse,common_optical_residual_rms,own_laplacian_rms,gradient_rms,high_frequency_psd_fraction
gaussian_sigma_px,0.0,66001,0.0,0.000641625822032685,0.3172715004103479,11.197021291671037,0.47214264945464746,0.004462407160420339
gaussian_sigma_px,0.5,66001,0.5,0.0006426026975125224,0.2801920377929176,9.826030611541226,0.43388215867790525,0.0023587609827399134
gaussian_sigma_px,1.0,66001,1.0,0.0006902704480407215,0.1964419902834559,6.742031368141287,0.3409721221837029,0.000292759265003423
gaussian_sigma_px,2.0,66001,2.0,0.0009028189312987334,0.09477443625591359,3.012418794224346,0.2033644914841573,8.529520660686899e-05
heat_tau_px2,0.0,66001,0.0,0.000641625822032685,0.3172715004103479,11.197021291671037,0.47214264945464746,0.004462407160420339
heat_tau_px2,0.125,66001,0.5,0.0006426026975125224,0.2801920377929176,9.826030611541226,0.43388215867790525,0.0023587609827399134
heat_tau_px2,0.5,66001,1.0,0.0006902704480407215,0.1964419902834559,6.742031368141287,0.3409721221837029,0.000292759265003423
heat_tau_px2,2.0,66001,2.0,0.0009028189312987334,0.09477443625591359,3.012418794224346,0.2033644914841573,8.529520660686899e-05
gaussian_sigma_px,0.0,66002,0.0,0.0006441781570467827,0.3334773783595407,11.801956983484281,0.5074311124410467,0.005118798167881678
gaussian_sigma_px,0.5,66002,0.5,0.0006423208853306359,0.2947649673096632,10.372921954598052,0.46732348808506197,0.002676679370997734
gaussian_sigma_px,1.0,66002,1.0,0.0006857488070446457,0.20790744040366343,7.177558224826275,0.3704602886403641,0.000291602008816624
gaussian_sigma_px,2.0,66002,2.0,0.0008961695408429238,0.10153762417311334,3.289058381631274,0.22503716510553612,5.562751879950871e-05
heat_tau_px2,0.0,66002,0.0,0.0006441781570467827,0.3334773783595407,11.801956983484281,0.5074311124410467,0.005118798167881678
heat_tau_px2,0.125,66002,0.5,0.0006423208853306359,0.2947649673096632,10.372921954598052,0.46732348808506197,0.002676679370997734
heat_tau_px2,0.5,66002,1.0,0.0006857488070446457,0.20790744040366343,7.177558224826275,0.3704602886403641,0.000291602008816624
heat_tau_px2,2.0,66002,2.0,0.0008961695408429238,0.10153762417311334,3.289058381631274,0.22503716510553612,5.562751879950871e-05
gaussian_sigma_px,0.0,66003,0.0,0.0005173630940526032,0.3927332646949435,14.258770213308699,0.5941491368063119,0.007481546757148797
gaussian_sigma_px,0.5,66003,0.5,0.0005144005390729434,0.34729084924742804,12.549218032246268,0.5459359963574175,0.003916347145627185
gaussian_sigma_px,1.0,66003,1.0,0.0005621134611045765,0.24324060480427717,8.648340790903958,0.42695399731371736,0.0004158412797096155
gaussian_sigma_px,2.0,66003,2.0,0.0008042254740118424,0.1127418058184554,3.7924400718529583,0.24754668027708265,4.868383273768397e-05
heat_tau_px2,0.0,66003,0.0,0.0005173630940526032,0.3927332646949435,14.258770213308699,0.5941491368063119,0.007481546757148797
heat_tau_px2,0.125,66003,0.5,0.0005144005390729434,0.34729084924742804,12.549218032246268,0.5459359963574175,0.003916347145627185
heat_tau_px2,0.5,66003,1.0,0.0005621134611045765,0.24324060480427717,8.648340790903958,0.42695399731371736,0.0004158412797096155
heat_tau_px2,2.0,66003,2.0,0.0008042254740118424,0.1127418058184554,3.7924400718529583,0.24754668027708265,4.868383273768397e-05
