proxy_lambda,seeds,validation_mse_mean,validation_mse_sd,validation_mse_min,validation_mse_max
0.0,3,0.0006010555789544014,7.249152356039324e-05,0.0005173625327188347,0.0006441774439736037
0.00035,3,0.0005328843753886758,5.066242730949157e-05,0.0004922462740069022,0.0005896463962926646
0.0035,3,0.000525637603004725,3.576838680678741e-05,0.0005031859554947005,0.0005668854209943675
0.01,3,0.0005828023434636028,3.917086959390885e-05,0.0005437015806819545,0.0006220429454515397
0.035,3,0.0007403206218441483,8.235690888500397e-05,0.0006508234155262471,0.0008129142961479374
0.1,3,0.0009067470479446152,0.00010149605617704468,0.0007914580946817296,0.000982634122010495
