proxy_lambda,seeds,validation_mse_mean,validation_mse_sd,validation_mse_min,validation_mse_max
0.0,3,0.0006010555789544,7.249152356039324e-05,0.0005173625327188,0.0006441774439736
0.00035,3,0.0005328843753886,5.066242730949157e-05,0.0004922462740069,0.0005896463962926
0.0035,3,0.0005256376030047,3.576838680678741e-05,0.0005031859554947,0.0005668854209943
0.01,3,0.0005828023434636,3.917086959390885e-05,0.0005437015806819,0.0006220429454515
0.035,3,0.0007403206218441,8.235690888500397e-05,0.0006508234155262,0.0008129142961479
0.1,3,0.0009067470479446,0.000101496056177,0.0007914580946817,0.0009826341220104
