index,arm,mean,std
0,N1,-0.23475880648483125,0.014600790943685594
1,NB,-0.20935449290155747,0.023303551815907805
2,NP,-0.208109799459665,0.012837423829677333
3,NR,-0.24268091412623177,0.014724854594460409
