index,arm,mean,std
0,N0,0.642709061090207,0.004940536024790694
1,N1,0.649490758767028,0.003058052100927833
6,NR,0.6517346445781018,0.004601461091653267
2,NB,0.6351399257903818,0.003783388176766813
4,NF,0.6426358889157052,0.0060871073939754074
5,NP,0.6414256780688523,0.0031521220699132074
7,NS,0.6423506769993268,0.0043658334410937895
3,ND,0.6364258554193913,0.006998272228581027
